event_id,dataset_index,primary_count,primary_pdgs,multiplicity_group,particle_valid,particle_truth_id,particle_truth,particle_pred_id,particle_pred,particle_correct,particle_confidence,stop_truth,stop_probability,stop_pred
390808,21056,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9622216820716858,0,2.791095175780356e-05,0
930240,50145,3,22;13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.962195634841919,0,0.0011791565921157598,0
545284,29348,2,13;2112,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9620255827903748,0,0.00032568350434303284,0
10874,594,2,-13;-11,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9581570029258728,0,0.00015731650637462735,0
484028,26095,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9561015963554382,0,0.0007037380710244179,0
885686,47699,2,2112;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9560006856918335,0,0.008961050771176815,0
540032,29086,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9546442627906799,1,0.8743674755096436,1
657122,35535,4,13;22;22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9536176323890686,0,4.855003862758167e-05,0
704193,38079,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9509906768798828,0,0.0011112478096038103,0
978451,52766,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9507962465286255,0,0.0036621701437979937,0
220388,11938,3,-13;22;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9474037885665894,0,0.00013997814676258713,0
23251,1270,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.946277379989624,0,8.82840613485314e-05,0
28131,1549,2,11;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9450675845146179,0,6.974062853259966e-05,0
717458,38776,2,22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9426800608634949,0,0.002058186335489154,0
584563,31501,2,11;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9373990893363953,0,0.018288543447852135,0
328300,17742,2,13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9367020726203918,0,0.9986428618431091,1
658122,35583,6,13;13;22;22;11;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9364317655563354,0,0.9987020492553711,1
944705,50943,2,22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9356167912483215,0,0.0056582260876894,0
91442,5012,4,11;13;22;-13,multi_mixed_family,0,-1,mixed/unsupported,3,proton,0,0.935053288936615,0,0.0001563221449032426,0
571503,30797,2,-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9342419505119324,0,0.00038252866943366826,0
257858,13930,2,-13;22,multi_mixed_family,0,-1,mixed/unsupported,2,photon,0,0.9278239011764526,1,0.9751258492469788,1
781049,42047,2,22;-11,multi_mixed_family,0,-1,mixed/unsupported,1,electron,0,0.9234289526939392,1,0.818988561630249,1
63869,3532,2,-11;-11,multi_same_family,1,1,electron,2,photon,0,0.9187113046646118,0,0.8982316851615906,1
579327,31199,2,13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9095222353935242,0,0.0041379546746611595,0
550302,29610,5,13;-13;22;-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8999571800231934,0,0.00013652494817506522,0
586259,31593,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8995033502578735,0,0.1488872915506363,0
413996,22315,3,13;22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8967613577842712,0,0.19317103922367096,0
154020,8390,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8833920359611511,0,0.0012015553656965494,0
332688,17971,3,22;11;-13,multi_mixed_family,0,-1,mixed/unsupported,1,electron,0,0.8812708854675293,0,0.8952081799507141,1
134249,7297,2,-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8748089075088501,0,0.015492983162403107,0
787541,42393,2,-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8642383217811584,0,0.16566115617752075,0
889410,47886,2,-11;22,multi_mixed_family,0,-1,mixed/unsupported,1,electron,0,0.8582711219787598,1,0.8507527709007263,1
3924,200,5,22;-13;13;-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8556843996047974,0,0.0010381626198068261,0
305246,16496,2,11;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8552170991897583,0,0.21644049882888794,0
753012,40623,3,-13;13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8504420518875122,0,0.14436230063438416,0
782477,42114,4,2112;22;22;22,multi_mixed_family,0,-1,mixed/unsupported,1,electron,0,0.8487468361854553,1,0.7198672890663147,0
91963,5041,2,13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8483284711837769,0,0.18713484704494476,0
729567,39374,5,13;22;22;13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8443535566329956,0,0.0010921021457761526,0
205390,11135,8,22;11;22;13;13;22;22;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8407518267631531,0,0.054708387702703476,0
611896,33046,2,-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8377702832221985,0,0.1440797746181488,0
20584,1124,2,22;-13,multi_mixed_family,0,-1,mixed/unsupported,2,photon,0,0.8330286145210266,1,0.9269755482673645,1
361519,19528,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,2,photon,0,0.8279097080230713,1,0.9902300238609314,1
483809,26081,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8249816298484802,0,0.20695708692073822,0
735578,39698,10,22;22;22;22;22;13;22;11;22;13,multi_mixed_family,0,-1,mixed/unsupported,1,electron,0,0.8230261206626892,0,0.3621794581413269,0
547943,29498,3,13;22;-11,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8210489749908447,0,0.2478271722793579,0
549436,29570,3,13;22;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8169699311256409,0,0.20826415717601776,0
294566,15927,2,-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8150410652160645,0,0.13656754791736603,0
288733,15596,3,-13;22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.8099620938301086,0,0.3196870982646942,0
200741,10899,2,22;22,multi_same_family,1,2,photon,2,photon,1,0.8097236156463623,0,0.906760573387146,1
91420,5009,3,-13;-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.7990348935127258,0,0.016116486862301826,0
602402,32522,2,-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.7982498407363892,0,0.3376626968383789,0
912200,49129,2,-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.7848964929580688,0,0.39113420248031616,0
358556,19347,3,22;22;11,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.763935923576355,0,0.4362878203392029,0
172837,9403,2,22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.7583925724029541,0,0.022828692570328712,0
215490,11657,2,13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.7566971778869629,0,0.1541532725095749,0
381950,20573,2,11;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.7560333609580994,0,0.03946653753519058,0
